club,handle,status,post_date,post_timestamp,likes,comments,reposts,collaborators,collab_count,caption,severity,post_url,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-09-26,2025-09-26T19:23:13+00:00,29,1,0,asacolumbia,1,"New to Barnumbia? 👀 ASA’s got you covered. Come through this Monday @ 9PM in X Lounge! No comments yet. Start the conversation. 29 1 September 26, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברי",0,https://www.instagram.com/p/DPE7lN4joQ6/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-04-09,2024-04-09T22:01:24+00:00,252,2,0,"asacolumbia, columbia2030__, columbiapartyhub, columbiabso, Columbia, University, New, York",8,"The BSO and ASA will be hosting a cookout this Sunday (4/14) at the John Jay Courtyard during Days on Campus! Come join us for food from across the diaspora, games, and line dances. Hope to see you all there!🩵🤍 brieftenderlightfilm   104w 🔥🔥 Reply 1 comment from Facebook 252 2 April 9, 2024 More posts from columbiabso Meta About Blog Jobs Help API Privacy Consumer Health Pr",0,https://www.instagram.com/p/C5joZssOJZU/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-11-14,2024-11-14T17:09:45+00:00,50,1,0,"asacolumbia, Edited",2,"we heard the menu for African Thanksgiving just dropped…👀👀  RSVP ASAP and secure your spot (link is also in our bio):   docs.google.com/forms/d/e/1FAIpQLSe5io5Th0uxVSmci_EAlmFuoYn99iqUBCQg6P0vQftE_plPsA/viewform samantha_nina   72w 🔥🔥🔥 Reply 50 1 November 14, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified Englis",0,https://www.instagram.com/p/DCXBDPZJgsI/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-03-01,2025-03-01T17:01:13+00:00,88,4,0,"asacolumbia, cuafropolitan",2,"ANNOUNCING AFROPOLITAN 2025  TIMELESS AFRICA: CELEBRATING THE DIASPORA THROUGH THE DECADES  APRIL 12th, 2025 7-10PM DIANA EVENT OVAL ezinne0   57w Ooo la la 😍 Reply ashleyrako   57w 🌍💞💓 Reply nomsa_elaine   57w WE READY!! Reply chichi.kanu   57w 🌍❤️❤️ Reply 88 4 March 1, 2025 More posts from cuafropolitan Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading",0,https://www.instagram.com/p/DGqhMXUOurP/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-01-22,2025-01-22T19:10:47+00:00,264,20,0,"asacolumbia, Columbia, University, Edited",4,MEET YOUR 2024-2025 EBOARD ⭐  Co-Presidents: Ama (BC’25) and Kehbuma (CC’26)   Vice President: Manny (CC’26)  Secretary: Reni (CC’ 26)  Treasurer: Rahmat (CC’ 28)  Historian: Aliaya (BC’26)   Co-Marketing Chairs: Ife (CC’26) and Marieme (BC’ 27)  Co-Social Chairs: Andile (CC’26) and Samad (CC’ 27)  Political Chair: Liz (CC’27)  Campus Liaison: Fatou (BC’ 27)  First Year Reps: Madoury (CC’28) and Hawa (CC’28) Special thanks to: 📸,0,https://www.instagram.com/p/DDlbHqpNQMQ/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,3 asacolumbia Wizkid · Bad Girl (feat. Asake)   Wizkid · Bad Girl (feat. Asake)   Follow One day out from African Thanksgiving! Dress code: come in your cultural attire or whatever you’d normally wear to a Thanksgiving or holiday gathering. We can’t wait to see all of your fits! 🤍 … more 34 kitkeenan Santigold · Disparate Youth   Santigold · Disparate Youth   Follow Blessed beyond #coachellaoutfit #festivalseason 450 5 asacolumbia Wizkid · Bad Girl (feat. Asake)   Wizkid · Bad Girl (feat. Asake),0,https://www.instagram.com/reel/DRC9KwdiXYi/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-10-28,2025-10-28T14:39:24+00:00,25,2,1,"iascolumbia, asacolumbia, Edited",3,"Join the Institute of African Studies and ASA for Career Connections on Friday, November 7th from 5:30 to 7:30 p.m. in Knox Hall. This event is open to African juniors, seniors, and graduate students interested in networking and discussing career opportunities!  https://forms.gle/jHA3jfjmabUmnktg8 iascolumbia   23w Can you add us as a collaborator !? Excited 1 like Reply View all 1 replies 25 2 1 October 28, 2025 More posts f",0,https://www.instagram.com/p/DQW0Y-zDdv5/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-02-01,2025-02-01T20:38:30+00:00,23,0,0,asacolumbia,1,"Our first event of the new year takes place this Monday at 9pm! We can’t wait to see you there ⭐️ No comments yet. Start the conversation. 23 February 1, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi França",0,https://www.instagram.com/p/DFizzM0yid6/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,"angeladoesntcareanymore Michael Sembello · Maniac (Flashdance Version) (Re-Recorded / Remastered)   Michael Sembello · Maniac (Flashdance Version) (Re-Recorded / Remastered)   Follow No further arguments your Honor ⚖️ … more 57 12 2 bentonmcclintock New York, New York Follow @stylusnyc what AI did you use to write this copy 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 … more 766 61 14 lifeofmarinnyc Follow SOS #engaged Likes entertainmenttonight Follow ‘Summer House’ star Ciara Miller says she’s thriving at the ‘Euphoria' seaso",0,https://www.instagram.com/reel/Bvkj6GZARDW/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2026-02-26,2026-02-26T22:38:55+00:00,14,0,0,asacolumbia,1,"Snow delayed us, but this discussion is too important to cancel. Join ASA x BAJI this Monday for a Political Teach-In on U.S.–Africa relations and how they affect our communities across the diaspora. No comments yet. Start the conversation. 14 February 26 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية",0,https://www.instagram.com/p/DVPPiOvDve4/,,,,,,,,,,,,
